UID,Name,Formula,MW,RT,gammaB1,gammaB2,gammaB3,NumOfQCoutliers,qcRSDB1,qcRSDB2,qcRSDB3,qcRSD,qcRSDlower95CI,qcRSDupper95CI,sampleRSDB1,sampleRSDB2,sampleRSDB3,sampleRSD,sampleRSDlower95CI,sampleRSDupper95CI,refRSDB1,refRSDB2,refRSDB3,refRSD,refRSDlower95CI,refRSDupper95CI,dRatioB1,dRatioB2,dRatioB3,dRatio,blankRatioB1,blankRatioB2,blankRatioB3,blankRatio
C18P11,"ECU0666_2-Piperidinone",C5 H9 N O,99.06857,2.985,0,13,14,0,3.15628603329545,17.040858768482,57.1471647321044,30.7350613821648,24.1853069983097,42.3696128688889,227.684442462942,70.7169688806252,112.265290765488,179.248355548979,151.523071186596,220.506474563081,NaN,NaN,NaN,NaN,NaN,NaN,1.38625458953313,24.0972697758696,50.9036803293723,17.146635062862,1.46524694586605,1.59613853971922,2.81956678430576,2.81956678430576
C18P12,"L-Kynurenine",C10 H12 N2 O3,208.08464,2.972,3,11,15,0,1.25072278488724,3.06672823978896,7.3311870057432,4.34247118228312,3.4454949341564,5.87527745934206,21.9582915035405,14.7564433711322,24.1296693626581,20.4487221207029,18.5891548042503,22.7299135523388,NaN,NaN,NaN,NaN,NaN,NaN,5.69590209095082,20.7822993837957,30.3824594343119,21.2359048973856,0.963446940126674,0.801587651986452,0.732765764784786,0.963446940126674
C18P13,"Hypoxanthine",C5 H4 N4 O,136.03841,1.292,5,15,13,0,2.16560081163104,2.45016290212608,4.35230695952008,2.97440747336142,2.36023546145722,4.02348007189885,29.5073682670261,33.0819428423146,30.1243380772111,31.289964499741,28.379632285105,34.8880939885806,NaN,NaN,NaN,NaN,NaN,NaN,7.33918657886906,7.40634524944561,14.4478094368904,9.50594710130157,0.443774151593594,1.35558575847608,1.00288915760622,1.35558575847608
C18P14,"ECU0595_Glycocholic acid",C26 H43 N O6,465.30831,4.232,4,12,10,0,1.31923409825338,2.90049342021243,5.09699597165326,3.26819641085885,2.5933172523874,4.42105625617167,185.455842990598,179.880313631351,137.342987220771,170.08006876099,144.455703813335,207.82595384914,NaN,NaN,NaN,NaN,NaN,NaN,0.711346742696189,1.61245739550841,3.71114395776184,1.92156343460302,4.39893506473247,3.88159928760412,5.42236881702747,5.42236881702747
C18P15,"L-Norvaline",C5 H11 N O2,117.07895,0.873,3,9,14,0,1.66151705855598,8.23617980835003,11.9736292580454,7.96804063528612,6.31956718803519,10.7905577175512,24.1182403613545,19.8798423852548,17.4689804145582,20.7270067162896,18.841237698324,23.0407195822946,NaN,NaN,NaN,NaN,NaN,NaN,6.88904759908724,41.4298043653451,68.5422329975641,38.4427946801598,0.292839688942534,0.266269839891455,0.247058867027963,0.292839688942534
C18P17,"ECU0628_1-Methylhistidine",C7 H11 N3 O2,169.08495,0.808,11,11,15,3,4.34005436255212,1.09385156046418,5.76587492671149,4.1221538357698,3.2323011253637,5.69244579362442,45.8652082071571,39.8915056559294,33.3106006147868,40.1008718622527,36.2814688762242,44.8619406675871,NaN,NaN,NaN,NaN,NaN,NaN,9.46262871619291,2.74206636846155,17.3094294917996,10.2794618778601,0.182853648845425,0.151364817715768,0.476531150836706,0.476531150836706
C18P18,"Hippuric acid",C9 H9 N O3,179.05815,3.4,13,1,14,0,1.93548816698369,0.500683656040633,4.822180987605,2.81491042876217,2.23369132247161,3.80765562217485,62.973413193174,62.3680678057741,65.8603632102725,65.2049889653189,58.4410767681241,73.8923505039347,NaN,NaN,NaN,NaN,NaN,NaN,3.07350049622764,0.802788467970269,7.32182568172181,4.31701695442255,1.02029736376718,1.0104981500316,0.963054744988627,1.02029736376718
C18P19,"L-Proline",C5 H9 N O2,115.06338,0.802,2,12,14,0,1.88879557586576,3.94979792360663,7.47913667450539,4.70310618979515,3.73152505373373,6.36363929701952,31.2516884904863,25.7421147995992,40.0504668996348,32.5726202513673,29.5333391671419,36.3343126581326,NaN,NaN,NaN,NaN,NaN,NaN,6.04381928496679,15.3437196374718,18.6742808598159,14.4388328402832,6.73382423282484,4.98941050231771,5.12880600106153,6.73382423282484
C18P20,"L-(-)-Phenylalanine",C9 H11 N O2,165.07883,2.942,14,10,5,0,7.97897842204901,7.6249406317754,10.5520102443847,8.42137588924386,6.67865680475897,11.4062281079385,22.1424483912674,28.758435580561,41.1153077126988,30.9565114222505,28.0795255239175,34.5124164900381,NaN,NaN,NaN,NaN,NaN,NaN,36.0347612922326,26.5137531922266,25.66443213345,27.2038918545287,0.0637420287137443,0.102548411430756,0.0723934402301827,0.102548411430756
C18P21,"L(-)-Pipecolinic acid",C6 H11 N O2,129.07895,0.803,10,6,15,1,4.84624404058427,1.87779144320982,7.13884607854992,4.89434203495824,3.86869499769984,6.66526844100102,15.8214959384387,17.6118495854361,16.0080390389812,16.5155158511907,15.022726521694,18.3429349064015,NaN,NaN,NaN,NaN,NaN,NaN,30.6307574166245,10.6620910773769,44.5953814903005,29.6348117676589,1.51526346262168,1.06448138685392,1.47441722309562,1.51526346262168
C18P22,"Octopamine",C8 H11 N O2,135.06827,1.672,15,14,10,0,11.5726902289566,12.1733313339546,9.56645812536081,10.8051104900365,8.56549188649645,14.6486887597025,46.7507009376265,37.3276338288394,26.1708995356184,38.018261040127,34.4188377090242,42.4957884877961,NaN,NaN,NaN,NaN,NaN,NaN,24.7540464567506,32.6121162401392,36.5537994303212,28.4208435483991,0.89724390973279,0.882550841043754,0.15547729643265,0.89724390973279
C18P24,"L(-)-Pipecolinic acid",C6 H11 N O2,129.07897,1.229,15,15,3,1,26.4554182125022,91.7613941485355,31.225966444735,53.4422814455546,41.2361538328656,76.9895141407688,99.2254150577482,92.429819064783,83.2894959769826,129.566397179332,112.429990282545,153.596263344195,NaN,NaN,NaN,NaN,NaN,NaN,26.6619375662026,99.2768297904175,37.4908817473988,41.247022846198,4.37622207055585,13.505272901519,19.3928059487869,19.3928059487869
C18P25,"trans-3-Indoleacrylic acid",C11 H9 N O2,187.0632,3.222,13,12,13,1,2.23061713930748,6.51383334940998,7.03834393565076,5.50225698120834,4.34895955806886,7.49415426657029,20.6726778214409,18.8906561309494,23.5955361928502,20.9622025494809,19.0542611293937,23.3034472434685,NaN,NaN,NaN,NaN,NaN,NaN,10.7901702845384,34.4817739746905,29.829133265399,26.2484677753702,0.0246619980571211,0.0455833389388969,0.0396060028106405,0.0455833389388969
C18P26,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.2239,10.374,15,3,0,1,9.66048649073135,7.6270131869494,1.29518474507448,6.88964287575056,5.44466825902164,9.38722683351237,34.0047933801952,57.8259765836276,43.4214796596173,46.6474558700515,42.114063912533,52.3383439232088,NaN,NaN,NaN,NaN,NaN,NaN,28.4091903830174,13.1895968517181,2.98282038112814,14.7696005007078,4.33296902142782,7.74495268231302,6.95589181080579,7.74495268231302
C18P27,"Glycochenodeoxycholic acid",C26 H43 N O5,449.31328,4.793,4,9,10,0,2.11942239477168,2.96453045617496,4.17408589736719,3.04057068774269,2.4127280499692,4.11301294423689,127.427033823928,147.53873865625,98.9589741257224,126.013135214105,109.554098175483,148.986204414454,NaN,NaN,NaN,NaN,NaN,NaN,1.66324392177266,2.00932343815275,4.21799633054423,2.41289980014904,2.48223599136318,3.00312452369494,2.57593979427994,3.00312452369494
C18P28,"ECU0665_Glycoursodeoxycholic acid",C26 H43 N O5,449.31371,4.166,6,11,3,0,4.71517283171722,2.89012928668559,3.12391530007944,3.55202765443567,2.81848718217236,4.80520196829645,94.2424835862847,129.957358407505,107.238764686411,111.909933822273,98.0238778251156,130.929251376344,NaN,NaN,NaN,NaN,NaN,NaN,5.00323490244206,2.22390584273271,2.91304670397355,3.17400567859932,23.5232700528253,17.4816881269503,25.401266118032,25.401266118032
C18P29,"L-(+)-Arginine",C6 H14 N4 O2,174.11156,0.83,10,12,11,1,1.1398235213716,7.67130131251065,9.61612285031391,6.87952936718898,5.43668294273863,9.37341929194281,18.1162073409706,20.9547624896173,16.1617125539863,18.8125675647052,17.1063554922953,20.9037042593806,NaN,NaN,NaN,NaN,NaN,NaN,6.2917336941372,36.6088678710228,59.4994052653293,36.5687955327048,0.42182866137603,0.440473419716135,2.1040654390318,2.1040654390318
C18P30,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.22398,8.266,6,3,11,0,11.132419643907,5.38355556017186,16.776816260061,11.3588905131135,9.00347386655553,15.4033517124337,112.323079915938,132.222264712359,130.002237906737,126.145756103474,109.661643826738,149.157833159845,NaN,NaN,NaN,NaN,NaN,NaN,9.91107050504529,4.07159533372344,12.9050211213261,9.00457602695415,3.77586728609406,3.4037629359802,2.61739529955814,3.77586728609406
C18P31,"ECU0426_Phenylacetylglutamine",C13 H16 N2 O4,264.11109,3.374,15,15,14,2,1.88821222076784,1.38953614963307,6.12816035159759,3.63774124933215,2.86442117950378,4.98672352727133,143.110249957885,93.589218945082,138.881165134693,145.567695253023,125.242084908129,174.653718420991,NaN,NaN,NaN,NaN,NaN,NaN,1.31941088868443,1.48471818153376,4.4125208379799,2.49900312223059,0.359650378229055,0.318755939641126,0.291085228611252,0.359650378229055
C18P32,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.22414,11.518,15,0,15,0,12.3924227841351,3.27615430730501,14.5265687557285,10.6174615979861,8.41704831211371,14.3930975402279,50.7616511208353,91.8383344338278,74.1655840081786,73.88847388525,65.9668448900128,84.1821681060856,NaN,NaN,NaN,NaN,NaN,NaN,24.4129623653014,3.56730588321544,19.5866707584027,14.3695776075646,11.9976734552833,22.9012585008424,23.6129028036873,23.6129028036873
C18P33,"ECU0626_Norvaline",C5 H11 N O2,117.07902,1.099,7,13,15,4,29.5552952811687,35.0857672761141,14.934313540041,27.348186650692,21.2030334954003,38.7040908770151,147.684849796996,116.468087985655,171.26362704828,145.855644800445,125.470620684895,175.037052366182,NaN,NaN,NaN,NaN,NaN,NaN,20.0124083965246,30.1247903034482,8.72007313954114,18.7501736309958,1.4271539891437,1.36940423179207,1.83941634105356,1.83941634105356
C18P34,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.22391,10.238,9,2,0,1,13.3885735228737,2.24785952168004,0.595867599803062,7.81085182808516,6.1718903731876,10.6454498652268,36.0715603762333,62.1229800907006,53.9301888797964,52.0352646456024,46.8869761722256,58.5385610306607,NaN,NaN,NaN,NaN,NaN,NaN,37.1167018649271,3.61840259175932,1.10488691432395,15.0106891572142,3.77081964943616,4.94031703523596,5.88399163475921,5.88399163475921
C18P35,"ECU0182_alpha-Linolenic acid",C18 H30 O2,278.22383,8.314,9,14,12,0,128.678226569701,13.974549909391,10.8331528415391,61.8031873248392,47.5364304452168,89.8395864397486,145.954744659225,43.4588023162914,41.974997814983,81.6470006777639,72.6267494262991,93.4942277990028,NaN,NaN,NaN,NaN,NaN,NaN,88.1630993703828,32.1558560396689,25.8085846467208,75.6956003426969,17.3347030614656,25.0520769521539,30.6365928210783,30.6365928210783
